Word,Positive Score,Negative Score
ਅਰੰਭ,0.16666667,0.375
ਕਟਾਖ,0.125,0.33333334
ਕੁਤਾਹੀ,0.125,0.2
ਗੁਲਦਸਤਾ,0.0,0.0
ਆਯੋਜਨ,0.0,0.0
ਟਾਸੀ,0.125,0.125
ਨਾਬਰੀ,0.375,0.3125
ਟਾਹਣ,0.0,0.0
ਛੱਬ੍ਹੀਆਂ,0.0,0.0
ਪ੍ਰਭਾਵਕਾਰੀ,0.75,0.0
ਟਿਚਨ,0.35,0.1875
ਬੇਨਤੀਕਾਰ,0.0,0.375
ਆਵਰਤ,0.0,0.25
ਪਿਚਕ,0.0625,0.083333336
ਟਾਹਰ,0.125,0.5416667
ਦ੍ਵੈਤਵਾਦ,0.5,0.0
ਤੰਬਾ,0.0,0.0
ਸਥਾਨ,0.25,0.0
ਨਸਲੀ,0.0,0.0
ਐਲਬਮ,0.0,0.0
ਵਾਸਤ,0.4117647,0.33125
ਮੌਰੂਸੀ,0.0,0.0
ਮਹੱਤਵਹੀਣ,0.20535715,0.31617647
ਵਾਸਾ,0.0,0.0
ਆਕਾਸ਼ੀ,0.0,0.0
ਪਾਸੇ,0.075,0.1
ਤੰਬੂ,0.0,0.0
ਟਾਹੂ,0.125,0.0
ਜਬਾੜਾ,0.0,0.375
ਵਾਹਕ,0.25,0.29166666
ਉਤਪਾਦਨ,0.0,0.125
ਸ਼ਰਧਾਲੂ,0.041666668,0.125
ਸਥਿਰ,0.375,0.4296875
ਤਰਸਵਾਨ,0.65625,0.0
ਵਾਹਨ,0.20833333,0.125
ਕੁਸ਼ਲਮਈ,0.5434167,0.31933334
ਮੁਸਕੁਰਾਹਟ,0.0,0.0
ਭੈਣੇ,0.0,0.0
ਨਖਰਾ,0.30833334,0.305
ਦੇਵਬਾਣੀ,0.125,0.0
ਧਰਾਤਲੀ,0.0,0.0
ਯੋਗ,0.4351889,0.20553333
ਸੈਣਤ,0.1875,0.125
ਸਥਿਤ,0.0,0.0
ਵੇਹਲੇ_ਰਹਿਣਾ,0.0,0.0
ਨਿਹੋਰਾ,0.0,0.25
ਆਂਤੜੀ,0.0,0.0
ਉਤਪਾਦਕ,0.6875,0.0
ਰੜਕਣਾ,0.0,0.375
ਬਰਾਮਦ_ਕਰਨਾ,0.125,0.25
ਮ੍ਰਿਗਅਰਿ,0.0,0.0
ਬਾਤਚੀਤ,0.0,0.0
ਕੀੜਾ,0.0,0.25
ਕੀੜੀ,0.0,0.0
ਕੁਢੱਬ,0.0,0.125
ਅਨੁਭਵਵਾਦ,0.0,0.0
ਰੰਗ_ਭਰਨਾ,0.0625,0.0625
ਚਰਿੱਤਰਹੀਣ,0.27425,0.5397143
ਉਦਘਾਟਨ,0.0,0.0
ਹੋਣਾ,0.5,0.375
ਹੋਣੀ,0.0,0.0
ਨਜਦੀਕੀ,0.41666666,0.3125
ਇਹਤਿਆਤ,0.3125,0.3125
ਦਰਸ਼ਿਟੀਗੋਚਰਤਾ,0.25,0.0
ਬੇਰੋਕ,0.0,0.0
